name,review,rating
Charlie Banana 10 Reusable Organic Cotton Wipes,"I love these organic wipes! You can't beat the price, about a dollar a piece. I ordered some of the double sided wipes from Charlie Banana, and even though they are thicker, they are made of one side organic cotton, one side 100% polyester :S... These are just one piece of organic cotton with a hem.. A little thinner, but so soft and will get the job done.  Definitely recommend!",5
The Piggyback Rider Standing Child Carrier - NILOC Model,"Preparing to take my daughter who is 4 to the Olympics, I needed to find a way to carry her that would result in no neck pain for me and no need to visit a Chiropractor. As a single Mom I needed to find something that I could use by myself, and easily worked out a way that I could strap in my daughter as well as put her safely on in the rider.Pros:Awesome view for my daughterEase of Access : A stroller in this situation would be a nightmare with many restrictions for accessEasy Stored in a Back Pack (tho the bag you ship makes NO Sense to me)Cons:My daughter got tired standing up, and after about 4hrs we resulted to my shouldersHard to distribute weight to my hips and found that standing bar bumped against my buttAlot of attention - everybody wanted to know where to get one!",3
Fisher-Price Rainforest Melodies and Lights Deluxe Gym,This is well made and the bright colors attract my daughter's attention. If it was a little less expensive I would have given it 5 stars.,4
"Woombie Convertible Baby Swaddler (Big Baby 14-19 lbs, Little Monster)",The quality of this item is pretty good. Fabric feels light and stretchy. I like the zipper up top and on bottom (diaper changes should be easier this way) Unfortunately there's no way I could zip up all the way to my 9-pound baby's neck.(the item was the newborn > 13 pound size) The neck opening is just way too tight. Thank heavens for Amazon's great return policy.,2
Jeep 2-in-1 Baby Carrier,"My 1 month old son loves to be held and this carrier lets me meet his needs for closeness while still having hands free for the other kids or housework.  I am a mother of 4 and have tried every carrier on the market except the very expensive baby bjorn.  They were all complicated to use and weren't comfortable.I went to Babies-R-Us finally prepared to spend $100.00 on a baby bjorn.  While hesitating for one moment, I tried on this carrier and loved it even more than the baby bjorn.  It is VERY EASY TO USE.  We have only used it in the forward facing position so far.  One buckle on each side secures the carrier to the parent.  Then one slide lock buckle on each side secures the baby.  There is also a buckle on each side near the top to ensure lots of comfy head support for newborns.  It is very user friendly.  I also love that it does not have a waist strap.My husband is 6'2"" amd weighs about 240 pounds.  This carrier has straps plenty long enough to fit him and people much larger (or smaller).I WOULD HIGHLY RECOMMEND YOU TRY THIS CARRIER!!!",5
The First Years Take and Toss 28-Piece Feeding Variety Pack,"I got this for a friend who doesn't know if they are having a boy or girl along with a really cute bib. I personally own these and think they are great! We use them on an every day basis, but if you lose a piece you aren't upset because they are so inexpensive.",5
"Pearhead Babyprints Desk Frame, Mahogany","This product was great.  The footprint kit was so easy, and it just has to dry for a good day, and then its ready to frame.  definatly reccomend this product.",5
Levana ClearVu Digital Video Baby Monitor with Color Changing Night Light (LV-TW301),"Not a clear night vision picture, bad audio quality. If i had an option I'd buy the Levana discont. product, babyview, way better.",2
"Skip Hop Hug and Hide Activity Toy, Owl","Love this owl so much, I have purchased it three times in the past year. Both Moms and babies loved receiving this!",5
"Simple Wishes Hands-Free Breastpump Bra, Pink, XS-L","I purchased this pumping bra after extensively reading others' reviews. I've used it for about a month and I love it. I work at a really busy office, and couldn't really afford to lose 15 minutes a few times a day to sit and pump. This truly lets me be hands free and I can work on the computer or do paperwork while pumping. It does take a little getting used to. The first time I used it, I think it took 10 minutes to get myself situated. I've got it down to about a minute now. It's very customizable, which is part of the learning curve up front, but means nearly everyone should be able to use it. I'm 36D/size 10-12 in most things and purchased the XS/S/M; it fits fine with a little room for expanding outward if I needed to and a LOT of room for making it smaller.",4
Oopsy Daisy Fine Art for Kids NL190401MG Train Engine Night Light,I bought this for my son's room since he likes trains. I expected better quality for the amount it cost. All it is a picture sitting on top of a nightlight. It wiggles and has fallen off a couple of times. It's cute but it is not worth the money they charge for it.,3
"Cloud b Twilight Constellation Night Light, Turtle",this was the perfect gift for my nephew to brighten up his room at night.  It is very cute and useful too,5
Nuby 2-Pack 8 oz No Spill Cup with Super Spout (Color may vary),"This was the 2nd sippy cup I bought. It leaks, the plastic spout part comes apart from the cup. Worst design.",2
"Dutailier Ultramotion Bow Back Glider Rocker and Ottoman Combo, Sage","I just got this put together.  The first thing I noticed and aspect I can't get rid of is the smell.  The varnish or stain used on the wood is overwhelming.  I hope it is not dangerous or harmful.  There are no instructions for assembly and left over parts.  There is nothing in the packaging or on the product that states ""Dutailier.""  The only thing that says Dutailier is the box, which makes me wonder if this is a knock off.  I will be calling Dutailier Monday to verify.  It is gliding quietly but the ottoman feels like it is going to fall apart.  I have to run, the smell is making me dizzy.",2
American Red Cross Door Finger Guard - 2 Pack,Product arrived prompt and in great condition. My little one and a half year old thinks she is much older and likes to run around in the bedrooms and close the doors behind her. I like to keep her room open so having these finger gaurds are great because not only do they prevent her from hurting herself but they keep the door from getting closed. Win win situation. Thanks,4
Mother-Ease Sandy's Cloth Diaper - Bamboo - Small (8-20 lbs),"Just thinking about a little 20# baby in this thing makes me laugh... But the size works for my baby beast, who was already 36"" and 32# at 18 months... All the other cloth diapers and wraps were fitting him like teeny bikini briefs. The high rise and extra room for stuffing with hemp inserts make it perfect for nighttime protection, when paired with Engel or Disana wool (which are probably the only covers that are big enough to cover this whole diaper, anyway).Just the high rise alone makes me happy... Having a tall baby can be difficult sometimes, because it seems like almost all baby stuff is designed for short lard balls.",5
Milkscreen: Home Test to Detect Alcohol in Breast Milk 8 Test Strips,These strips are great! I can have a glass of wine with dinner and be reassured that my baby's not having one too. Takes all the guessing out! Best invention ever... if you're nursing and like to have a drink now & then.,5
Teething Necklace Jewelry - Organic BPA Free Silicone Chew Beads Teether Toys for Nursing Moms - Tiffany - White,"This is a very cute necklace that is also a teething necklace.  It is so nice looking.  No one would guess it was a teething necklace. If you have a little one, you might want to check this out.",5
Motorola Digital Audio Baby Travel Monitor,I've used this twice and both times it's worked great.  Even when the child unit is across the room from her I can hear if she wakes up.  It's almost too good. When set on high at both ends my family could hear everything we were saying in the bedroom.  Remember to unplug it when not in use ;-),5
"Munchkin Deluxe Dishwasher Basket, Colors May Vary","Other than holding the pieces to the Dr. Brown bottles, nothing came out clean and this really wasn't worth the money.I use the Avent microwave sanitizer and continue to use the hot dishwasher cycle first. Disappointing.",1
Bumkins 3 Pack Waterproof SuperBib,These bibs seem like they will last a very long time. Get the job done and just throw them in the washer machine when dirty :) I bought some for both grandparents! Highly recommend.,5
Graco Secure Coverage Digital Baby Monitor with 2 Parent Units,I was able to hear noises being made a room away from where the base was located-- which was a good thing and speaks to the quality of the system.,5
"Mary Meyer Wubbanub Plush Pacifier, Cutsie Caterpillar","My granddaughter, two and a half months, holds on to this little caterpillar and don't loose her paci'. Beautiful. So glad I bought it. Might buy more in different designs. One of these little gifts a new Moms at times can't justify buying, a great gift for grandparents if baby uses this kind of pacifier. Very well made. Recommend!",5
Stokke Xplory Cup Holder,"I thought it was a little much to buy this fancy cup holder after spending so much on the Stokke Stroller, but it has been a necessity for our walks since the stroller is so streamlined, there really isn't any other place to put things right in front of you.  I use it for my phone a lot more than I use it for drinks, because I always like to have my phone handy in case of an emergency with the baby.",5
"Stephan Baby Ultra Soft and Huggable Musical Praying Woolly Lamb, Blue","arrived as advertised....good soft product.  Only difference, it was a little smaller than I had expected.  Overall I was pleased.",4
"Tiny Love Take-Along Arch, Sunny Stroll",Love! Keeps his attention for hours. Does not hook on his car seat tho which is why I purchased it,4
"Britax Frontier 90 Booster Car Seat, Zebra","I love this carseat.  I actually went to have it professionally installed, and the technician said it was the easiest-to-install seat EVER with the click-tight installation technology.  She was a fan of this seat.HOWEVER, the reason I did not give it 5 stars was because (after I purchased it), I read that it had dropped in rank in car seat ratings AS A BOOSTER.  It's still great as a 5-point harness seat.  As a booster, however, the change in the armrest design (from the Frontier 85) makes the lap belt sit too high on the child's lap.  Britax sells a ""SegureGuard"" clip to fix this, which we purchased for when we convert to a booster.  I feel the clip is something you should have anyway, to prevent submarining in boosters.Please check for yourself on the Insurance Institute for Highway Safety website (IIHS).  They test and rate all the carseats & boosters.",4
Squatty Potty 7&quot; Toilet Stool-Elimination Aid - Natural Bathroom Relief Through A Toilet Stool,"This was suggested by a friend and it took me a while to get it. I didn't think a stool to squat would help me poop anymore than the myriad of prunes I'm told to eat.OH OH OH how I was wrong. Since I have had this, i have had NO constipation. Put your feet up there and boom, out it comes. Works with my kids and i highly highly suggest it!",5
Leachco Snoogle Total Body Pillow Replacement Cover - Mauve,"Got this for my wife as a gift during her pregnancy.  She loved it.  I tried it out and loved it as well.  If you like the idea of a body pillow, but didn't like actually using one of the straight ones, this is for you.  If you're a cuddly or curl-up-to-sleep person, THIS IS A GODSEND!",5
Medela Pump in Style Advanced Breast Pump with On the Go Tote,"I have been using this pump heavily for a year (full time working mom).  I have also owned the Avent ISIS Duo and an older style Medela PISA (circa 1990). Tthe 1990's Medela was the best.  It lasted through 3 kids worth of heavy, heavy pumping and was a work horse.  But they don't make 'em like that anymore, so pining away after it doesn't really help anyone!SUMMARY:If you are going to pump exclusively, you will need a good DOUBLE electric pump.  Depending on your situation, below are my recommendations:If you are have low supply, if you're struggling to pump enough, and/or do not respond to the pump well, I would recommend the ISIS over the PISA.  The ISIS is much better at extracting milk, BUT, it's also more cumbersome to use, the parts are heavy (so won't work great with a pumping bra) and there are a lot of parts to clean and keep track of.If you have good supply and your body responds well to pumping, then this Medela will probably be a decent (and convenient) pump for you.If you are OCD about cleanliness: Isis or Ameda Purely Yours (closed systems)IF YOU WANT THE GORY DETAILS (#5 being the most important, IMO)1. Reliability is questionable.  The pump stopped working after 4 months.  However, Medela immediately sent out a new pump, for free, which I receved the next business day.  Very good customer service.  Unfortunately, this happened on a Friday, so I was without the pump for an entire weekend.  I was lucky enough to have a back up pump, but not everyone has access to a back up pump.  Without a back up pump, it would have been pretty horrible.2. The suction is just so-so.  Even when both pumps were brand new, I could hear the motor leaking air.  I replaced the membranes, and the suction is improved marginally.  I respond very well to the pump, so this doesn't jeopardize my production.  However, if you don't respond well to the pump, it might affect your supply.3. The parts are light and easy to keep clean.  Compared to the Avent Isis Duo, the Medla parts are much lighter, there are fewer pieces to assemble, and the pieces are more durable.  The Isis had a few silicone parts that got gunky and gross after a while.  But all the Medela parts are plastic except the membranes, which are inexpensive to replace.  Also, the weight makes the Medela very easy to hold up with a pumping bra.  The Isis was so heavy, my pumping bra wasn't very effective keeping the horns attached to my boobs. So I had to hold them there and wasn't able to multi task while pumping.  Very inconvenient.4.  This is an open system.  Milk WILL get in the tubes. Dust and condensation will also gunk up the tubes.  If you're super OCD about everything being perfectly clean and sterile, be prepared to replace the tubing often.  Alternatively, look into closed system pumps (Isis and Ameda Purely Yours are closed). You will need to run your pump for a few minutes after each use to dry out the tubes or else mold will develop.  Kind of a pain, and this puts added wear on the motor (which is already weak, IMO, per my above comments).  You will need to replace the tubes every so often.  This also means it's only intended for one user.  This doesn't stop many people from buying used pumps, but technically, that is considered unsanitary and voids the warranty.5. You cannot control the speed and suction independent of each other.  There is a single dial.  If you set the dial to &#34;low&#34; = low suction, slow speed.  &#34;High&#34; = high suction, fast speed.  You cannot have low suction, fast speed.  Or high suction, slow speed.  On the ISIS, Ameda and old style Medela you can control the speed and suction separately.  This is an important feature, because each woman has a different combination of speed and suction they respond best to. And if you're struggling to produce, you need every advantage you can get and being able to completely customize the speed and suction could be a determining factor in your success. I always got the most milk using the ISIS with slow speed and long deep suction.  I could pump about 15-20% more using the ISIS.  But I had ample supply, so even with the Medela, I could keep up with my baby's demand.For me, the deciding factor in using the Medela as my primary pump was convenience.  But if I was struggling with supply, I would have used the ISIS as my primary pump.As a side note, you can pump directly into Evenflo and Dr. Brown's narrow neck bottles.  I used the Evenflo glass bottles and Medela collars and nipples.  Worked great.",3
Mommy's Helper Cushie Traveler,"I bought 2 of these. One to keep at my parent's house and one to throw in my bag when we are out. I love them. It's the perfect thing for my parents..My son visits a few times week and they can easily store this in their linen closet, no big, clunky potty, when he's not there. It folds up into quarters, so I have no problems carrying one in my bag around either. (admittedly, though, I do carry a huge bag) I keep it with a pack of Clorox wipes and just give it a good wipe down in between uses. The bag I store it in is machine washable so I toss that in the laundry once a week. I'd highly recommend this to anyone.",5
Philips AVENT BPA Free Twin Electric Breast Pump,"I've been really impressed with this pump. I'm pumping exclusively due to having a preemie in the NICU and I can get more per pump from the Avent than the madela pumps they have at the hospital. The only thing that didn't work for me was the silicone massage insert that prevented good suction so I simply removed them and have had no problems since. I've been pumping every three hours for the last 2 weeks so I can't speak of how long the motor will last but so far no issues at all. It's easy to clean and put together and the bag it comes in is nice, but the bag is the size of a computer/messenger bag so if small is what you're looking for then beware of the size",5
HABA Kringelring Rattle Clutching Toy,I bought this for my older son when we were caught at a mall without any activities in my bag.  It has been a great distractor & teether for 2 babies now - and I see no signs that it will give out anytime soon!  We love HaBa products!!!,5
"Munchkin Easy-Close Metal Gate, White",I  love this gate! I  have tried MANY different types  and they  didn't seem sturdy  enough in our walk thru.  This one  is very sturdy on easy to open and close.  Worth every penny!,5
"OXO Tot Sprout Chair, Orange/Birch","As the grandmother, I didn't really need a super fab highchair, since my grand-daughter is only here now and then -BUT this is the best!! By the time I bought this one my grand-daughter was 2 and she can climb in and out of it easily.The tray is nice and big, so it accommodates various plate sizes. Before long, we can just convert it to be a chair youpull up to the table, without the tray and center leg divide. I actually bought a second one for my son, since he recognizedhow much easier and SAFER it was than the smaller one he had.",5
Munchkin A&amp;H Disposable Multi-Use Pad - 20 Pack,"I use these with every dirty diaper change. If there's any mess, it makes it so easy to just wrap it all up and toss it! I keep a box on his changing table for at home, and I always keep some in his diaper bag for travel, too. I don't like to use public changing tables, so I change him in the car and just use one of these on the seat underneath him. They work like a charm!",5
"Simple Wishes Hands-Free Breastpump Bra, Pink, XS-L","Exactly what was expected,  love that it is adjustable.  Good quality.  I am able to work and pump at the same time which is a lifesaver.",5
KidCo Angle Mount Safeway  - Black,I am very pleased with my decision to purchase two of these gates (top and bottom of stairs). The gate is very solid and is easy to operate one-handed. I like how you can limit to swing open only one direction.,5
"Britax Stroller Organizer, Black",Love how deep the cup holders are! Perfect and secure on my Baby Jogger City Select.  I also tuck the magnet center flap in sometimes to have the middle section stay open... I can hear my cell phone better that way.,5
Bummis Tote Bag - Red - Small,The size of the bag is fine but the opening is very narrow with very little give to it. It's hard to stuff a poopy diaper with minimal touching of your hand and/or the edge of the bag.,3
"Orbelle 3-6T Toddler Bed, Natural","We've been using this for a few months now. It was easy for myself and my 3 year old to put together (she helped hold the boards while I attached them).I'm sure there's a weight limit and some reviews had said that even leaning on it cause issues. For us, I'm average weight, but currently pregnant (so not so average weight)  and I've sat on the bed with my toddler and with my three year old many times and it's fine. My husband is also average and he often leans on it when he puts our child to sleep. Again, I'm sure there is a weight limit that we've exceeded, so I wouldn't say to do that, but our experience is that it holds.I do wish we had one that had the rail run the full length of the bed on one side, but that is just preference. Thought I'd mention it as a consideration, but has nothing to do with the quality of the bed.It's affordable and we have no complaints.",5
Classy Kid Keep Me Coloring Creative Germ Defense Placemat - Pack of 20,"These are perfect for my toddler who can't be trusted with a dish yet. I don't mind if a plastic plate or bowl hits the floor at home, but restaurants all use breakable plates that I really don't want to worry about being thrown by my little one. At the same time, having worked in the restaurant biz myself, I know how gross those tables might be. I certainly wouldn't want to eat my own food off of one. And my kid is also too young to really do well with the little coloring sheets/ kids menus you get at a lot of places. She doesn't have the coordination yet to keep the paper in place while she colors.These placemats neatly solve both problems. They stick well, the pictures are great for coloring or for talking about (""What sound does the cow make?"", etc) while we're trying to keep her entertained during the wait for food. I love the fact that these do not used licensed characters, and they are not gender-segregated. And being biodegradable is the extra-awesome icing on the cake. I've just placed my second order of these. I know we'll eventually outgrow using these, but for now, they are definitely a must-have for our family.",5
"Munchkin Swaddle Angel 2 Count Blankets, X-Batik and Boomerang","i bought these as a gift, and I was very pleased with the packaging.  My sister loves them for her new baby and uses them often.  They are large and soft, and the patterns are even prettier in person.  The best part are the loops that allow you to hook the blanket and keep it in place, and even use as a nursing cover.  I wish I had these when my babies were born!",5
"Summer Infant  Multi Use Extra Tall Walk-Thru Gate, White","I've had my gate at the top of the stairs for a year and a half or so and the safety latch that prevents the door from swinging both ways just snapped off.  I thought this would be an easy piece to replace as it only has two screws on it to remove in order to take it off and could be easily switched out; however, summer infant does not sell a replacement part for this item.  They want you to buy the whole gate in order to replace a small piece of plastic.  Unfortunately, I tried a few other gates at the top of my stairs and this was the only one that fit.  Please keep this in mind before purchasing this gate.",1
"OsoCozy 6 Pack Prefolds Unbleached Cloth Diapers, Size 1","I've been using Osocozy prefolds ever since my daughter was born. At almost 1 year old and just under 20 lbs, she can still fit into the size 1 prefolds (i use the jelly roll fold and secure with a snappi to make the trimmest fit possible). Size 2 was way too big and I actually cut 4 inches of length off of all of them (after prepping them, of course) and stitched the edges to prevent fraying. There is no way any baby would ever utilize all that extra length. I use Thirsties duo wraps and compared to a size 2 completely unbuttoned thirsties cover, the size 2 prepped prefolds were 5 inches longer than the cover.They are very absorbent, resistant to stains, and get very clean in the wash. I have recommended these prefolds to friends.",4
"Combi BPA Free Teether, 6 Months","I like the fact that it has a carrying case. It's a bit thinner than the other teethers like Munchkins, Nuby, etc.",4
"Chicco DJ Baby Walker, Splash",This is a great walker because it's easy to maneuver. My son loves being in it. I love that you could pop off the the musical play thing and it becomes a food tray. That is a plus for me cause it keeps him busy while I get chores done.,5
"Prince Lionheart weePOD Basix, Ash Grey","I have tried five different potty seats, and this is easily the best.  We have an elongated oval toilet, and this seat fits perfectly without slipping.  Next favorite is the Baby Bjorn seat...but is double the price of the Prince Lionheart.",5
"Fisher-Price Booster Seat, Blue/Green/Gray",Fantastic product. We absolutely love this for our 19-month-old; the tray system is easy to clean and so compact. My only regret? That we didn't get it months ago!,5
"My Brest Friend Original Pillow, Bluebells","After one week of trying to breastfeed with a stack of four pillows, my back was killing me.  I was getting less nervous about dropping the baby off the precariously balanced stack, but still limited in where I could sit while feeding (not in bed, because the floor was too far away).  Not having a nursing pillow was not working out.My Brest Friend is the only nursing pillow I've tried.  It is a huge improvement over standard bed pillows or nothing.Plusses:- Much better than a stack of standard bed pillows or just holding baby up with no pillows.  Within three feedings, I felt much better about using the pillow, and my back did not hurt some much after feeding.  This is way more comfortable than any improvised home alternatives.- Cheaper than buying waterproof covers for a stack of standard bed pillows.  After all, if you have a baby on it, eventually, there will be a diaper leak.  I didn't care what color the cover on the nursing pillow was, so I just picked the color that was on sale.Negatives:- The cover for the My Brest Friend is not waterproof, and the inside pillow material is made of foam that absorbs moisture.  If you have a baby on it, eventually, there will be a diaper leak.  That's going to go through the cover and into the pillow.  You can pat the foam with water, but the pillow will be wet for a while, and eventually I suspect the baby will start to smell the accumulated spills.  I realize that most of the manufacturing cost for this is the material used for the cover, but any type of waterproof layer, even a cheap vinyl cover under the cloth would have been very welcome.-  Boppy has a waterproof cover www.amazon.com/Boppy-Water-Resistant-Protective-Cover/dp/B002WDEIVA/ , but I couldn't even find one for sale separately for My Brest Friend.- I have to hunch over to nurse with this, or lift the baby's head a few inches off the pillow.  For perspective, I'm 5ft 6inch, have a long torso, wore size 8 before pregnancy and only gained 10 pounds from pregnancy.  The other reviewer who mentioned hunching over said she was 4ft something with a slight build.  In a sense, it's a one-size-fits-all pillow, and plus size reviewers say it's great for them.  With thicker thighs, the height might work out better.  Maybe I'm supposed to have my feet up on something, so that I can control the height of the pillow with my thighs.  That sort of works, but it angles the pillow so that baby slides into me, and it's alarming for both of us.Other:- I suspect a nursing pillow is only for the newborn phase.  Once the baby develops neck muscles, I think he will be able to do more of the work supporting himself up.  Also, people breast feed in public with nursing covers, but I have never seen someone carrying a nursing pillow around for portable breastfeeding.  So, I suspect the nursing pillow is for short term use, and will be outgrown in a few months.  This may mitigate issues with not having a waterproof cover.If you plan to breastfeed, definitely get a nursing pillow.  This one was a huge improvement over standard bed pillows, and a big enough improvement that I am not going to try others.  As you shop, if you see any nursing pillows that have a waterproof cover, or any waterproof covers for popular pillows, those are worth investigating and paying more for.",4
"Graco Pack 'n Play Playard with Cuddle Cove Rocking Seat, Winslet",absolutely waste of time and money!!!!  garbage instruction and product!!!  Not clear how to assemble and the assembly guide is ridiculously useless!!!!  The parts were damaged easily during assembly!!!!!  DO NOT RECOMMEND THIS AT ALL!!!,1
Tiny Love Super Mat,"We have no carpeting in our house so I bought this interactive mat for my 5 month old. I put a foam mat underneath and it's soft enough for my baby to fall over and not cry. When my baby isn't playing with toys on this mat, she'll get distracted with the textures on the mat or the other attachments.",5
Kidsline - Luxury Blanket - Lavender,"These blankets are AMAZING.  They wear very well, my daughter has used the green one every night for over four years.  I bought two others, thinking the green one would wear out, but it hasn't.  These are super soft, wash very well and there is no fraying.  Awesome baby gift.",5
*The Art of CureTM *SAFETY KNOTTED* Lemon - Certified Baltic Amber Baby Teething Necklace w/&quot;THE ART OF CURETM&quot; Jewelry Pouch (SHIPS AND SOLD IN USA),"Well, the first one broke so I left a negative review. However, I was promptly emailed and given the certificate of authenticity and a promise to send me a new one. Hopefully the first one was just a fluke. I will revise if the second one breaks. But I tell you what, customer service was GREAT. She's a homeopathic mom who has a few trusted manufacturers. And she wanted to do anything possible to help me and my teething son. I am thrilled and that is why I am giving a second necklace a try.",5
"Diono RadianRXT Convertible Car Seat, Plum",Great car seat except in the rear facing position you have to buy the angle adjuster (sold separately) in order to not push the passenger seat all of the way forward.,4
"Britax 2 Pack EZ-Cling Sun Shades, Black","I loved these shades until it got cold here in Pa, and they won't stick now. Not worth buying if they don't work for more than half a year. Especially since it is very sunny in the winter time and my kids hate having the sun in their eyes. Can't return them now cause we used them for the warmer months.",1
"Munchkin Stroller Cup Holder, Black","Worked fine for about a month, then the part that latches the cup holder onto the cinch part snapped off. It was pretty flimsy.",2
Graco SnugRider Elite Stroller &amp; Car Seat Carrier,"this did a great job for my young girl, quick easy installation of car seat into carrier.  It lasted through her early years, and will get to use again for my other daughter when she gets old enough!",4
"Ju-Ju-Be Changing Pad Bag, Midnight Eclipse",I bought this to match my other cobalt blossoms changing stuff and ended up returning it for a padded changing pad.  I realized that I may as well put the baby on a towel or a burp cloth.  I can't recall the name of it but I found a fantastic padded changing pad on Amazon that we love - look around.  This one looks cute but is kinda small and you can find better ones out there...,3
"South Shore Savannah Collection Changing Table, Pure White","This piece looked great after assembly!  I found out that I should have been more careful in putting nails in too deeply.  Some of the tips of the nails touched through the wood around the front edge of the dressing  pad frame. (I'm going to try to just carefully hammer those tips back in.  Hopefully, the finish will not crack.)I didn't feel there was a need for the piece directly above the cubbies.  I will probably take it off, for it shortens the size for bigger baskets.  Otherwise, this piece is super!!!  It looks great in my future granddaughter's nursery w/the matching chest dresser!",5
